Symbol,Last_Price,Industry,Sector
GL,144.25,Insurance - Life,Financial Services
IRTC,144.21,Medical Devices,Healthcare
ATI,143.93,Metal Fabrication,Industrials
PATK,143.1,Recreational Vehicles,Consumer Cyclical
BPOP,142.63,Banks - Regional,Financial Services
ATR,142.58,Medical Instruments & Supplies,Healthcare
PHM,142.56,Residential Construction,Consumer Cyclical
LSTR,142.36,Integrated Freight & Logistics,Industrials
CBRE,142.31,Real Estate Services,Real Estate
ANET,141.59,Computer Hardware,Technology
HIG,141.25,Insurance - Diversified,Financial Services
BMO,141.02,Banks - Diversified,Financial Services
QCOM,140.7,Semiconductors,Technology
AGCO,140.49,Farm & Heavy Construction Machinery,Industrials
MANH,140.45,Software - Application,Technology
KALU,140.41,Aluminum,Basic Materials
AZZ,140.24,Specialty Business Services,Industrials
BE,139.74,Electrical Equipment & Parts,Industrials
RDDT,139.65,Internet Content & Information,Communication Services
JCI,139.24,Building Products & Equipment,Industrials
PLD,138.97,REIT - Industrial,Real Estate
VRTS,138.18,Asset Management,Financial Services
LEA,137.87,Auto Parts,Consumer Cyclical
BIDU,137.01,Internet Content & Information,Communication Services
RGEN,136.44,Medical Instruments & Supplies,Healthcare
SIMO,136.28,Semiconductors,Technology
CPK,135.6,Utilities - Regulated Gas,Utilities
MAA,135.55,REIT - Residential,Real Estate
MOH,135.35,Healthcare Plans,Healthcare
LNN,134.96,Farm & Heavy Construction Machinery,Industrials
ESAB,134.82,Metal Fabrication,Industrials
MTN,134.32,Resorts & Casinos,Consumer Cyclical
BOKF,134.22,Banks - Regional,Financial Services
OC,134.19,Building Products & Equipment,Industrials
ROAD,133.93,Engineering & Construction,Industrials
WMT,133.89,Discount Stores,Consumer Defensive
ARES,133.88,Asset Management,Financial Services
MSTR,133.88,Software - Application,Technology
AWK,133.5,Utilities - Regulated Water,Utilities
GLW,133.46,Electronic Components,Technology
DTM,133.21,Oil & Gas Midstream,Energy
J,132.79,Engineering & Construction,Industrials
MHK,132.6,"Furnishings, Fixtures & Appliances",Consumer Cyclical
PLMR,132.1,Insurance - Property & Casualty,Financial Services
LAMR,131.79,REIT - Specialty,Real Estate
TPB,131.77,Tobacco,Consumer Defensive
ENTG,131.43,Semiconductor Equipment & Materials,Technology
